,birth,death,gender,hair,height,name,race,realm,spouse
315,YT,"SA 1697 ,War of the Elves and Sauron",Male,Dark,,Celebrimbor,Elves,Eregion,
316,YT,"Still alive, departed over the sea in the early Fourth Age",Male,Silver,Tall,Celeborn,Elves,"Eregion,Lothlórien,Caras Galadhon",Galadriel
317,TA 1259,TA 1447,Male,,,Castamir the Usurper,Men,Gondor,Unnamed wife
318,"Before the Creation of ,Arda",FA 466,Male,Black with red stripes,Gigantic,Carcharoth,Werewolves,Angband,
319,"During the ,Noontide of Valinor",FA 506,Male,Dark,,Caranthir,Elves,,Unnamed wife
320,TA 1058,TA 1304,Male,,,Calmacil,Men,Gondor,Unnamed wife
321,SA 512,SA 900,Male,,,Caliondo,Men,,Unnamed wife
322,TA 1736,TA 1936,Male,,,Calimehtar,Men,Gondor,Unnamed wife
323,"Late ,First Age",FA 473,Male,,,Bór,Men,,Unnamed wife
324,FA 262,FA 355,Male,,,Bëor,Men,,Unnamed wife
325,"Late ,Third Age","Early ,Fourth Age",Male,Brown (movie),,Barliman Butterbur,Men,,
326,TA 2974,"November 3 ,3019",Male,Black,,Gríma Wormtongue,Men,,
327,"Mid-,Second Age","March 15 ,3019",Male,"Brown, graying, later white","7' 1"" (2.13 metres)",Witch-king of Angmar,"Men,Wraith","Angmar,Minas Morgul,Osgiliath",
328,"Late ,Third Age","Early ,TA 3019",Male,,,Willie Banks,Hobbits,Bree,
329,Possibly pre First Age,Unknown; possibly still alive,Most likely male,None,Huge,Watcher in the Water,Urulóki,Doors of Durin,Most likely none
330,TA 2780,TA 2851,Male,,,Walda,Men,,Unnamed wife
331,SA 425,"Early ,Second Age",Male,,,Vëantur,Men,,Unnamed wife
332,TA 1919,TA 2029,Male,,,Vorondil,Men,,Unnamed wife
333,"Before ,TA 1255",TA 1344,Female,,,Vidumavi,Men,,Valacar
334,SA 203,"Early ,Second Age",Female,,,Vardilmë,Men,,
335,SA 61,SA 471,Male,,,Vardamir Nólimon,Men,Númenor,Unnamed wife
336,Before the creation of Arda,Immortal,Female,,,Varda,Ainur,Arda,Manwë
337,TA 462,TA 652,Male,,,Valandur,Men,Arnor,Unnamed wife
338,"Early ,Second Age","Early ,Second Age",Male,,,Valandil of Andúnië,Men,,
339,SA 3430,TA 249,Male,,,Valandil,Men,Arnor,Unnamed wife
340,TA 1194,TA 1432,Male,,,Valacar,Men,Gondor,Vidumavi
341,Before the creation of Arda,Immortal,Female,,,Vairë,Ainur,"Valinor,Halls of Mandos",Mandos
342,"Late ,First Age",FA 460,Male,,,Urthel,Men,,
343,"Mid ,First Age",FA 473,Male,,,Ulwarth,Men,,
344,"Before the creation of ,Arda",Immortal,Male,,,Ulmo,Ainur,"Valinor,Ulmonan",None
345,"Mid ,First Age",FA 473,Male,,,Ulfast,Men,,
346,"Late ,First Age",FA 473,Male,,,Ulfang,Men,,Unnamed wife
347,"Mid ,First Age",FA 473,Male,,,Uldor,Men,,
348,"Early ,Second Age",Mid Second Age ,Male,,,Ulbar,Men,,Unnamed wife
349,"Before the creation of ,Arda",Immortal,Female,,,Uinen,,,Ossë
350,3019,February 293019,Male,Dark (movie),"6' 6"" (movie)",Uglúk,Uruk-hai,Isengard,None
351,TA 2815,TA 2914,Male,,,Túrin II,Men,,Unnamed wife
352,TA 2165,TA 2278,Male,,,Túrin I,Men,,Unnamed wife
353,FA 464,FA 499,Male,Dark,Tall,Túrin,Men,,Nienor
354,TA 2855,TA 2953,Male,,,Turgon (Steward),Men,,Unnamed wife
355,YT 1300,FA 510,Male,Dark,,Turgon,Elves,"Nevrast,Gondolin",Elenwë
356,TA 397,TA 667,Male,,,Turambar,Men,Gondor,Unnamed wife
357,FA 472,None; sailed into the West and was accounted amongst the Eldar,Male,Golden,Tall,Tuor,Men,,Idril Celebrindal
358,"Before the creation of ,Arda",Immortal,Male,Golden,,Tulkas,Ainur,"Valinor,House of Tulkas",Nessa
359,TA 2890,TA 2981,Male,,,Sigismond Took,Hobbits,,Unnamed wife
360,TA 2976,Fourth Age,Male,,,Beregond (Captain),Men,,Unnamed wife
361,TA 2700,TA 2811,Male,,,Beregond,Men,,Unnamed wife
362,"Late ,First Age",FA 460,Male,,,Belegund,Men,,Unnamed wife
363,TA 2074,TA 2204,Male,,,Belegorn,Men,,Unnamed wife
364,TA 811,TA 1029,Male,,,Beleg of Arnor,Men,"Arnor,Arthedain",Unnamed wife
365,TA 2752,TA 2872,Male,,,Belecthor II,Men,,Unnamed wife
366,TA 2545,TA 2655,Male,,,Belecthor I,Men,,Unnamed wife
367,TA 2985,"Early ,Fourth Age",Male,,"6'2""",Bard II,Men,"Dale,Lake-town",
368,TA 2898,TA 2977,Male,Black (films),,Bard,Men,Dale,Unnamed wife
369,FA 289,FA 380,Male,,,Baran,Men,Estolad,Unnamed wife
370,TA 2290,TA 2412,Male,,,Barahir (Steward),Men,Gondor,Unnamed wife
371,FA 402,FA 460,Male,Possibly dark,,Barahir,Men,,Emeldir
372,FA 420,FA 460,Male,,,Baragund,Men,,Unnamed wife
373,TA 2763,TA 2994,Male,White,,Balin,Dwarves,,
374,TA 2925,TA 3007,Male,Brown (film),"1.76m / 5'9"" (film)",Bain,Men,Dale,Unnamed wife
375,TA 2816,TA 2911,Male,,,Ponto Baggins,Hobbits,,Mimosa Bunce
376,TA 1144,TA 1349,Male,,,Malvegil,Men,Arthedain,Unnamed wife
377,TA 895,TA 1110,Male,,,Mallor,Men,"Arthedain,Arnor",Unnamed wife
378,"Mid ,Third Age",Mid Third Age ,Male,"Dark, later grey ",,Malbeth the Seer,Men,,"Unknown, possible none"
379,FA 307,FA 398,Male,,,Malach,Men,,Meldis
380,UnknownYT,Still alive,Male,Brown with copperlike-red,,Mahtan,Elves,,Unnamed wife
381,"During the ,Noontide of Valinor",Fate unknown,Male,Dark,,Maglor,Elves,,Unnamed wife
382,FA 320,FA 510,Male,Black,Tall,Maeglin,Elves,,None
383,"During the ,Noontide of Valinor",FA 587,Male,Dark red,Tall,Maedhros,Elves,,None
384,YT 1200,FA 503,Female,Black,,Lúthien,"Elves,Maiar",,Beren Erchamion
385,"Late ,Third Age",TA 2994,Male,,,Lóni,Dwarves,,
386,TA 2752,TA 2842,Male,,,Brytta Léofa,Men,Rohan,Unnamed wife
387,TA 2459,TA 2501,Male,,,Léod,Men,,Unnamed wife
388,"Before the creation of ,Arda",First Age,Male,Mane of red flame,,Lungorthin,Balrog,,
389," ,3019",February 293019,Male,Dark,6'1 (film),Lugdush,Uruk-hai,,
390,"Late ,First Age",Late First Age ,Male,,,Lorgan,Men,,
391,"Late ,Second Age",Late Second Age ,Female,,,Lindórië,Men,,Unknown husband
392,SR 1313,Between SR 1401-1418,,,3'8',Letter 211,,,Lilah Took
393,YT,YT (possibly),Male,,,Lenwë,Elves,,Unnamed wife
394,"Possibly ,First Age",Possibly still alive,Male,,,Landroval,Eagle,,
395,FA 466,FA 469,Female,Blonde,,Lalaith,Men,,
396,March 253021,"Early ,Fourth Age",Female,Blonde or Golden,,Elanor Gardner,Hobbits,,Fastred of Greenholm
397,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,"Grey, later white",,Gandalf,Maiar,,
398,"April 6 ,2980","Still alive, after going to the ,Undying Lands, in ,FO 61",Male,Blond (movie),"1.22m (4'0"")",Samwise Gamgee,Hobbits,,Rosie Cotton
399,TA 2926,FO 7 (SR 1428),Male,"Brown, later gray","1.2m (3'11"")",Hamfast Gamgee,Hobbit,,Bell Goodchild
400,FO 2,FO ,Male,,,Frodo Gardner,Hobbits,,Unnamed wife
401,TA 2972,FO 54,Female,,,Daisy Gamgee I,Hobbits,,
402,FA 417,FA 462,Male,,Tall,Galdor,Men,,Hareth
403,YT 1362,"Still alive: Departed over the sea on ,September 29 ,3021",Female,Golden,Tall,Galadriel,Elves,"Eregion,Lothlórien,Caras Galadhon",Celeborn
404,TA 2004,TA 2129,Male,,,Galador,Half-elven,,Unnamed wife
405,TA 2859,November 23TA 2941,Male,Yellow,,Fíli and Kíli,Dwarves,,None
406,YT 1169,YT 1497,Male,Raven,Tall,Fëanor,Elves,"Tirion,Formenos",Nerdanel
407,TA 2662,TA 2799,Male,,,Fundin,Dwarves,,Unnamed wife
408,TA 2552,TA 2589,Male,,,Frór,Dwarves,,
409,TA 2594,TA 2680,Male,,,Fréawine,Men,Rohan,
410,TA 2726,TA 2798,Male,,,Fréaláf Hildeson,Men,Rohan,Unnamed wife
411,TA 2570,TA 2659,Male,,,Fréa,Men,Rohan,Unnamed wife
412,"Late ,Third Age",November 102994,Male,,,Frár,Dwarf,,
413,TA 1940,TA 2001,Male,,,Frumgar,Men,,Unnamed wife
414,TA 2751,TA 2799,Male,,,Frerin,Dwarves,,
415,TA 2698,TA 2754,Male,Dark,,Freca,Men,,Unnamed wife
416,TA 1967,"Unknown, sometime after ,TA 2000",Male,,,Fram,Men,,"Unknown, probably as he had descendants"
417,"Late ,First Age",Late First Age ,Male,Fair,,Forweg,Men,,"Unknown, probably none"
418,TA 2745,TA 2848,Male,,,Fortinbras Took I,Hobbits,,Unnamed wife
419,"Mid ,Third Age",TA 1944,Male,,,Forthwini,Men,,"Unknown, but possible since he had descendants"
420,"Late ,Third Age",TA 3019,Male,,,Forlong,Men,,unknown
421,TA 2830,TA 2903,Male,,,Folcwine,Men,Rohan,Unnamed wife
422,TA 2858,TA 2885,Male,,,Folcred,Men,,
423,TA 2804,TA 2864,Male,,,Folca,Men,,Unnamed wife
424,"Late ,Third Age",TA 2994,Male,,,Flói,Dwarves,,
425,TA 1930,TA 2031,Male,,,Bucca of the Marish,Hobbits,,
426,"Mid ,First Age",Late First Age ,Male,,,Bregor,Men,,Unnamed wife
427,TA 2913,TA 3012,Female,,,Asphodel (Brandybuck) Burrows,Hobbit,,Rufus Burrows
428,"Late ,First Age",FA 455,Male,,,Bregolas,Men,,Unnamed wife
429,TA 2512,TA 2570,Male,,,Brego,Men,Rohan,Unnamed wife
430,TA 2920,TA 2980,Female,,,Primula (Brandybuck) Baggins,Hobbits,,Drogo Baggins
431,TA 2860,TA 2960,Female,,,Mirabella (Took) Brandybuck,Hobbits,,Gorbadoc Brandybuck
432,TA 2982,FO 65,Male,Golden yellow (film),"1.38m (4'6"")",Meriadoc Brandybuck,Hobbit,,Estella (Bolger) Brandybuck
433,TA 2983,"Early-,Fourth Age",Female,Dark Brown,,Mentha Brandybuck,Hobbits,,
434,SR 1175,SR 1277,Male,,,Madoc Brandybuck,Hobbit,Buckland,Hanna Goldworthy
435,TA 2985,"Before ,FO 63",Female,Dark Blonde,,Estella (Bolger) Brandybuck,Hobbits,,Meriadoc Brandybuck
436,TA 2904,TA 2998,Female,,,Amaranth Brandybuck,Hobbits,,None
437,First Age,FA 499,,,,Brandir,Men,,
438,TA 2957,"March 17 ,3019",Male,,,Brand,Men,"Dale,Laketown",Unnamed wife
439,TA 2913,TA 3010,Male,,,Bruno Bracegirdle,Hobbits,,Unnamed wife
440,"Late ,First Age",FA 473,Male,,,Borthand,Men,,
441,"Late ,Third Age","April 15 ,2510",Male,,,Borondir,Men,,
442,First Age,First Age ,Male,,,Boron,Men,,Unnamed wife
443,TA 2410,TA 2489,Male,,,Boromir (Steward),Men,,Unnamed wife
444,FA 338,FA 432,Male,,,Boromir (House of Bëor),Men,,Unnamed wife
445,TA 2990,FO 65,Male,Almost golden,"1.34m (4'5"")",Peregrin Took,Hobbits,,Diamond of Long Cleeve
446,TA 2975,"before ,FO 63",Female,,,Pearl Took,Hobbits,,None
447,TA 2933,FO 13,Male,,,Paladin Took II,Hobbits,,Eglantine Banks
448,TA 2847,"TA 2946, (SR 1346",Male,,,Isembard Took,Hobbits,,
449,SR 1240,SR 1341,Male,,,Hildigrim Took,Hobbits,,Rosa Baggins
450,TA 2849,TA 2934,Male,,,Hildibrand Took,Hobbits,,
451,TA 2790,TA 2920,Male,,,Gerontius Took,Hobbits,,Adamanta Chubb
452,TA 2916,TA 3015,Male,,,Ferumbras III Took,Hobbits,,None
453,TA 2928,FO 2,Male,,,Adelard Took,Hobbits,,Unnamed wife
454,TA 2817,TA 2923,Female,,,Adamanta (Chubb) Took,Hobbits,,"Gerontius ""The Old"" Took"
455,TA 2880,TA 2982,Male,,,Adalgrim Took,Hobbits,,Unnamed wife
456,TA 2701,TA 2800,Male,,"1.35m (4'5"")",Bandobras Took,Hobbit,,Unnamed wife 
457,TA 2666,TA 2759,Male,,,Isumbras Took III,Hobbits,,Unnamed wife
458,TA 2620,TA 2722,Male,,,Isengrim Took II,Hobbits,,Unnamed wife
459,TA 2878,TA 2980,Male,,,Fortinbras Took II,Hobbits,,Lalia Clayhanger
460,TA 2295,TA 2398,Male,,,Isumbras Took I,Hobbits,,
461,FO 10,FO 112,Male,,,Faramir Took I,Hobbits,,Goldilocks Gardner
462,"After ,SA 61","Early ,Second Age",Female,,,Tindómiel,Men,,
463,Before the creation of Arda,Immortal,Male, ,,Tilion,Ainur,,None
464,TA 2978,"February 25 ,3019",Male,,,Théodred,Men,,
465,"TA 2948 ,Gondor","March 15 ,3019",Male,White with braids (book) Blonde (films),Tall,Théoden,Men,,Elfhild
466,TA 2542,TA 2790,Male,Grey-white,,Thrór,Dwarves,"Grey Mountains,Lonely Mountain",Unnamed wife
467,TA 2644,TA 2850,Male,,,Thráin II,Dwarves,Lonely Mountain,Unnamed wife
468,First Age,"Presumably departed to ,Aman",Male,Golden,Tall,Thranduil,Elves,"Woodland Realm,Mirkwood",Unnamed wife
469,"Before the Creation of ,Arda",Immortal,Male,,30 ,Thorondor,Great Eagles,,
470,TA 1934,TA 2190,Male,,,Thráin I,Dwarves,Khazad-dûm,Unnamed wife
471,TA 2782,TA 2882,Male,,,Thorondir,Men,,Unnamed wife
472,TA 2866,"FO 137,(aged 280)",Male,,,Thorin III Stonehelm,Dwarves,"Lonely Mountain,Iron Hills",
473,TA 2746,"November 23, TA 2941",Male,,,Thorin II Oakenshield,Dwarves,Ered Luin,
474,TA 2035,TA 2289,Male,,,Thorin I,Dwarves,"Lonely Mountain,Grey Mountains",Unnamed wife
475,YT 1050,FA 502,Male,Silver,"Tallest of the Elven-folk, 8'2""",Thingol,Elves,Doriath,Melian
476,TA 2905,TA 2980,Male,,,Thengel,Men,Rohan,Morwen Steelsheen
477,Second Age,"Sometime after the ,War of the Last Alliance",Male,,Tall,The King of the Dead,"Men,Undead","White Mountains,Paths of the Dead",
478,TA 1516,TA 1636,Male,,,Telemnar,Men,Gondor,Unnamed wife
479,First Age,First Age,Male,,,Telchar,Dwarves,,
480,TA 1632,TA 1850,Male,,,Telumehtar,Men,Gondor,Unnamed wife
481,TA 372,TA 602,Male,,,Tarondor of Arnor,Men,Arnor,Unnamed wife
482,TA 2860,TA 2950,Male,,,Longo Baggins,Hobbits,,Camellia (Sackville) Baggins
483,TA 2814,TA 2916,Female,,,Laura (Grubb) Baggins,Hobbits,,Mungo Baggins
484,TA 1577,TA 1798,Male,,,Tarondor,Men,Gondor,Unnamed wife
485,"After ,TA 654","Before ,TA 913",Male,,,Tarciryan,Men,,Unnamed wife
486,TA 2807,TA 2900,Male,,,Mungo Baggins,Hobbits,,Laura Grubb
487,"22 September ,TA 2968","Unknown (Last sighting ,September 29 ,3021,) (,SR 1421,)",Male,Brown,"1.06m (3'6"")",Frodo Baggins,Hobbit,,
488,TA 2864,TA 2960,male,,,Fosco Baggins,Hobbits,,Ruby Bolger
489,TA 2911,TA 3009,Male,,,Dudo Baggins,Hobbits,,Unnamed wife
490,TA 2908,TA 2980,Male,,,Drogo Baggins,Hobbits,,Primula Brandybuck
491,TA 2846,TA 2926,Male,,,Bungo Baggins,Hobbit,,
492,TA 2772,TA 2871,Female,,,Berylla (Boffin) Baggins,Hobbits,,Balbo Baggins
493,TA 2852,TA 2934,Female,Black,,Belladonna (Took) Baggins,Hobbits,,Bungo Baggins
494,TA 2767,TA 2858,Male,,,Balbo Baggins,Hobbits,,Berylla (Boffin) Baggins
495,TA 2981,"Early-,Fourth Age",Female,Blonde,,Angelica Baggins,Hobbit,,
496,FA 214,FA 473,Male,,,Azaghâl,Dwarves,,
497,"Before the creation of ,Arda",Immortal,Male,,,Aulë,Ainur,,Yavanna
498,SA 213,"Early ,Second Age",Male,,,Aulendil (Vardamir's son),Men,,Unnamed wife
499,TA 977,TA 1226,Male,,,Atanatar II,Men,Gondor,Unnamed wife
500,TA 480,TA 748,Male,,,Atanatar I,Men,Gondor,Unnamed wife
501,"After ,SA 61","Early ,Second Age",Male,,,Atanalcar,Men,,Possible unnamed wife
502,TA 241,FO 121,Female,Black,,Arwen,"Half-elven,Men",Reunited Kingdom,Aragorn II Elessar
503,TA 1633,TA 1813,Male,,,Arveleg II,Men,"Arthedain,Arnor",Unnamed wife
504,TA 1309,TA 1409,Male,,,Arveleg I,Men,"Arnor,Arthedain",Unnamed wife
505,TA 1553,TA 1743,Male,,,Arvegil,Men,"Arthedain,Arnor",Unnamed wife
506,TA 1864,TA 1975,Male,,,Arvedui,Men,Arthedain,Fíriel
507,"Late ,First Age",FA 460,Male,,,Arthad,Men,,
508,"Before the creation of ,Arda",Immortal,Female,,,Arien,Ainur,,None
509,TA 2757,TA 2912,Male,,,Argonui,Men,,Unnamed wife
510,Years of the Trees,"YT 1500, or ,FA 1 ,Battle of the Lammoth",Male,Possibly dark,Tall,Argon,Elves,,None
511,TA 1473,TA 1670,Male,,,Argeleb II,Men,Arthedain,Unnamed wife
512,TA 1226,TA 1356,Male,,,Argeleb I,Men,"Arthedain,Arnor",Unnamed wife
513,YT 1362,FA 400,Female,Dark,Tall,Aredhel,Elves,,Eöl
514,TA 2497,TA 2654,Male,,,Aravorn,Men,,Unnamed wife
515,TA 2156,TA 2319,Male,,,Aravir,Men,,Unnamed wife
516,TA 1711,TA 1891,Male,,,Araval,Men,"Arthedain,Arnor",Unnamed wife
517,TA 2873,TA 2933,Male,Dark (film),,Arathorn II,Men,,Gilraen
518,TA 2693,TA 2848,Male,,,Arathorn I,Men,,Unnamed wife
519,TA 2628,TA 2784,Male,,,Arassuil,Men,,Unnamed wife
520,TA 1391,TA 1589,Male,,,Araphor,Men,Arthedain,Unnamed wife
521,TA 185,TA 435,Male,,,Arantar,Men,Arnor,Unnamed wife
522,TA 1789,TA 1964,Male,,,Araphant,Men,Arthedain,Unnamed wife
523,TA 2084,TA 2247,Male,,,Aranuir,Men,,Unnamed wife
524,TA 1938,TA 2106,Male,,,Aranarth,Men,,Unnamed wife
525,TA 2012,TA 2177,Male,,,Arahael,Men,,Unnamed wife
526,TA 2563,TA 2719,Male,,,Arahad II,Men,,Unnamed wife
527,TA 2365,TA 2523,Male,,,Arahad I,Men,,Unnamed wife
528,TA 2431,TA 2588,Male,,,Aragost,Men,,Unnamed wife
529,"March 1 ,2931",FO 120,Male,Dark,"198cm (6'6"")",Aragorn II Elessar,Men,"Reunited Kingdom,Arnor,Gondor",Arwen
530,TA 2227,TA 2327,Male,,,Aragorn I,Men,,Unnamed wife
531,TA 2296,TA 2455,Male,,,Araglas,Men,,Unnamed wife
532,TA 2820,TA 2930,Male,"Dark, then grey (film)",,Arador,Men,,Unnamed wife
533,SA 2798,SA 3033,Male,,,Ar-Zimrathôn,Men,Númenor,Unnamed wife
534,FA 440,FA 489,Male,,,Andróg,Men,,Unnamed wife
535,FA 361,FA 455,Female,Dark brown,,Andreth,Men,,"Loved ,Aegnor, but they never married"
536,Possibly before the Creation of Arda,FA 587,Male,,As tall as a mountain,Ancalagon,Dragons,,
537,TA 136,TA 411,Male,,,Anardil,Men,Gondor,Unnamed wife
538,Years of the Trees,"YT 1497 ,Losgar",Male,Dark red,,Amrod,Elves,,None
539,Years of the Trees,FA 538,Male,Dark red,,Amras,Elf,Estolad,None
540,TA 726,TA 946,Male,,,Amlaith,Men,Arthedain,Unnamed wife
541,"Sometime during ,Years of the Trees, or the ,First Age",SA 3434,Male,,,Amdír,Elves,Lórien,Unnamed wife
542,YT,Still alive,Female,,,Amarië,Elves,,"Loved ,Finrod, but it is unknown whether they married"
543,"Late ,Second Age",Sailed West either SA 3310 fate unknown,Male,,,Amandil,Men,,Unnamed wife
544,TA 3017,FO 95,Male,,,Alphros,Men,,
545,"Between ,SA 700, and ,SA 750","Early ,Second Age",Female,,,Almiel,Men,,
546,"Between ,SA 700, and ,SA 750","Early ,Second Age",Female,,,Ailinel,Men,,Orchaldor
547,"Late ,First Age",FA 489,Male,,,Algund,Men,,None known
548,TA 2544,TA 2645,Male,,,Aldor,Men,Rohan,Unnamed wife
549,TA 1330,TA 1540,Male,,,Aldamir,Men,Gondor,Unnamed wife
550,TA 2827,TA 2932,Male,,,Aglahad,Men,,Unnamed wife
551,"Mid ,First Age",FA 495,Female,,,Aerin,Men,,Brodda
552,"YT during the ,Noontide of Valinor",FA 455,Male,Golden,,Aegnor,Elves,,"Loved ,Andreth but remained unmarried"
553,TA 2917,TA 3010,Male,,,Adrahil II,Men,,Unnamed wife
554,"Before ,TA 1944","Late ,Third Age",Male,,,Adrahil I,Men,,
